Folder,Phase,ATMOSPHERE-CLOUDFRACTION,ATMOSPHERE-AABUN,ATMOSPHERE-ASIZE,ATMOSPHERE-TEMPERATURE
Param_CLOUDFRACTION_Asym_0.0,ingress,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.0,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.0,egress,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.1,ingress,0.55,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.1,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.1,egress,0.45,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.2,ingress,0.6,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.2,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.2,egress,0.4,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.3,ingress,0.65,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.3,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.3,egress,0.35,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.4,ingress,0.7,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.4,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.4,egress,0.3,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.5,ingress,0.75,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.5,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.5,egress,0.25,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.6,ingress,0.8,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.6,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.6,egress,0.2,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.7,ingress,0.85,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.7,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.7,egress,0.15000000000000002,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.8,ingress,0.9,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.8,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.8,egress,0.09999999999999998,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.9,ingress,0.95,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.9,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_0.9,egress,0.04999999999999999,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_1.0,ingress,1.0,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_1.0,mid,0.5,0.08,1.0,1724.18
Param_CLOUDFRACTION_Asym_1.0,egress,0.0,0.08,1.0,1724.18
Param_AABUN_Asym_0.0,ingress,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.0,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.0,egress,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.1,ingress,0.5,0.17200000000000001,1.0,1724.18
Param_AABUN_Asym_0.1,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.1,egress,0.5,0.07200000000000001,1.0,1724.18
Param_AABUN_Asym_0.2,ingress,0.5,0.264,1.0,1724.18
Param_AABUN_Asym_0.2,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.2,egress,0.5,0.064,1.0,1724.18
Param_AABUN_Asym_0.3,ingress,0.5,0.35600000000000004,1.0,1724.18
Param_AABUN_Asym_0.3,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.3,egress,0.5,0.056,1.0,1724.18
Param_AABUN_Asym_0.4,ingress,0.5,0.44800000000000006,1.0,1724.18
Param_AABUN_Asym_0.4,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.4,egress,0.5,0.048,1.0,1724.18
Param_AABUN_Asym_0.5,ingress,0.5,0.54,1.0,1724.18
Param_AABUN_Asym_0.5,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.5,egress,0.5,0.04,1.0,1724.18
Param_AABUN_Asym_0.6,ingress,0.5,0.632,1.0,1724.18
Param_AABUN_Asym_0.6,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.6,egress,0.5,0.032,1.0,1724.18
Param_AABUN_Asym_0.7,ingress,0.5,0.724,1.0,1724.18
Param_AABUN_Asym_0.7,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.7,egress,0.5,0.024000000000000007,1.0,1724.18
Param_AABUN_Asym_0.8,ingress,0.5,0.8160000000000001,1.0,1724.18
Param_AABUN_Asym_0.8,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.8,egress,0.5,0.016,1.0,1724.18
Param_AABUN_Asym_0.9,ingress,0.5,0.908,1.0,1724.18
Param_AABUN_Asym_0.9,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_0.9,egress,0.5,0.007999999999999993,1.0,1724.18
Param_AABUN_Asym_1.0,ingress,0.5,1.0,1.0,1724.18
Param_AABUN_Asym_1.0,mid,0.5,0.08,1.0,1724.18
Param_AABUN_Asym_1.0,egress,0.5,0.0,1.0,1724.18
